$ACRAW,928,-192,-16224,6,83,383*97
$ACRAW,944,-192,-16288,1,78,385*07
$ACRAW,960,-192,-16208,3,78,394*C7
$ACRAW,944,-272,-16208,2,88,386*A7
$ACRAW,960,-288,-16256,5,78,381*D7
$ACRAW,960,-240,-16224,4,82,385*C7
$ACRAW,960,-192,-16240,10,83,394*64
$ACRAW,944,-256,-16208,5,81,391*47
$ACRAW,912,-192,-16160,1,74,374*47
$ACRAW,960,-192,-16224,5,82,388*C7
$ACRAW,960,-256,-16224,6,67,386*17
$ACRAW,928,-192,-16256,3,78,387*97
$ACRAW,912,-256,-16208,8,77,375*97
$ACRAW,944,-192,-16240,7,69,385*27
$ACRAW,960,-192,-16224,3,75,384*E7
$ACRAW,976,-192,-16256,8,85,388*47
$ACRAW,960,-336,-16272,12,81,373*24
$ACRAW,944,-192,-16160,2,74,389*67
$ACRAW,960,-192,-16240,1,72,377*57
$ACRAW,912,-192,-16240,9,80,385*87
$ACRAW,960,-192,-16224,2,83,377*A7
$ACRAW,960,-192,-16208,-5,90,375*E5
$ACRAW,912,-256,-16240,11,80,380*F4
$ACRAW,976,-240,-16320,10,70,390*24
$ACRAW,912,-192,-16240,4,82,386*47
$ACRAW,928,-256,-16224,9,76,383*77
$ACRAW,944,-192,-16272,3,81,378*37
$ACRAW,960,-192,-16272,9,80,385*C7
$ACRAW,896,-240,-16272,-7,80,385*B5
$ACRAW,928,-192,-16208,5,75,377*67
$ACRAW,960,-192,-16192,-4,89,383*E5
$ACRAW,912,-272,-16272,-1,83,381*65
$ACRAW,976,-256,-16160,0,69,375*17
$ACRAW,960,-240,-16160,-2,80,383*05
$ACRAW,960,-192,-16240,6,81,381*77
$ACRAW,928,-256,-16304,6,77,383*A7
$ACRAW,912,-192,-16224,7,79,387*07
$ACRAW,912,-256,-16224,7,77,381*37
$ACRAW,960,-256,-16352,2,77,381*37
$ACRAW,944,-192,-16240,8,72,384*67
