ADATA 528 15712 -3120
MDATA -90 -440 -291
ADATA 752 15216 -3568
MDATA -89 -458 -270
ADATA -192 15392 -5328
MDATA -95 -470 -234
ADATA 928 14048 -5872
MDATA -81 -499 -189
ADATA -1360 13440 -7712
MDATA -76 -528 -131
ADATA 464 12224 -10320
MDATA -58 -533 -64
ADATA 384 11904 -10448
MDATA -67 -543 -37
ADATA -400 10144 -11440
MDATA -74 -541 11
ADATA -1520 8864 -12656
MDATA -54 -544 44
ADATA -672 8832 -13792
MDATA -80 -545 95
ADATA -976 5616 -13712
MDATA -90 -526 160
ADATA 1632 4624 -14560
MDATA -82 -500 203
ADATA 320 2176 -15088
MDATA -75 -490 254
ADATA -352 2016 -15248
MDATA -72 -464 272
ADATA -352 1520 -16928
MDATA -59 -450 289
ADATA 784 896 -17280
MDATA -54 -430 299
ADATA -272 528 -16128
MDATA -66 -432 303
ADATA -416 1088 -16112
MDATA -76 -426 311
ADATA 224 640 -15888
MDATA -78 -422 309
ADATA -1136 1472 -19456
MDATA -77 -432 307
ADATA -160 160 -16336
MDATA -91 -431 305
ADATA 704 64 -16144
MDATA -99 -412 317
ADATA -384 608 -16832
MDATA -92 -418 314
ADATA 96 864 -15472
MDATA -104 -431 306
ADATA 752 320 -16704
MDATA -83 -426 308
ADATA 48 1264 -16144
MDATA -68 -420 310
ADATA 176 1152 -15888
MDATA -11 -429 297
ADATA 48 768 -16176
MDATA 17 -431 292
ADATA 16 976 -16400
MDATA 64 -418 303
ADATA 1040 1040 -16416
MDATA 131 -390 314
ADATA -528 528 -16272
MDATA 169 -364 316
ADATA 784 -336 -15984
MDATA 222 -303 325
ADATA -928 -400 -16016
MDATA 250 -253 341
ADATA 80 -1008 -16000
MDATA 284 -221 335
ADATA -112 -896 -15824
MDATA 299 -193 331
ADATA -176 -1120 -15984
MDATA 316 -148 337
ADATA 656 -13ý
READY
ADATA -688 -1552 -16096
MDATA 318 -60 350
ADATA 176 -1680 -16336
MDATA 305 -98 343
ADATA -976 -1376 -15904
MDATA 300 -153 343
ADATA 320 -1632 -16128
MDATA 285 -198 338
ADATA 2336 -1200 -15552
MDATA 238 -283 334
ADATA -2976 -336 -15888
MDATA 183 -337 334
ADATA -640 -560 -15904
MDATA 131 -368 325
ADATA -944 -800 -15968
MDATA 79 -385 331
ADATA -672 -432 -16144
MDATA 19 -395 343
ADATA -224 -512 -15616
MDATA -33 -389 344
ADATA 2400 192 -16384
MDATA -111 -378 356
ADATA 576 -1904 -15696
MDATA -151 -373 353
ADATA 480 -832 -16224
MDATA -205 -370 343
ADATA 1808 -1760 -17280
MDATA -254 -349 332
ADATA 2112 -1088 -16176
MDATA -331 -321 321
ADATA 2720 -2528 -17120
MDATA -327 -316 321
ADATA -848 -1168 -13088
MDATA -328 -314 318
ADATA -1056 -1856 -17520
MDATA -271 -332 330
ADATA -96 -912 -16048
MDATA -253 -344 331
ADATA 592 -752 -16176
MDATA -249 -343 334
ADATA 656 -720 -16256
MDATA -257 -342 329
ADATA 464 -784 -16176
MDATA -256 -340 332
ADATA 464 -784 -16208
MDATA -259 -354 330
ADATA 512 -736 -16208
MDATA -256 -346 332
ADATA 496 -752 -16160
MDATA -249 -343 334
ADATA 704 -976 -16016
MDATA -250 -344 341
ADATA 848 -640 -16192
MDATA -249 -342 334
ADATA 3568 -640 -16384
MDATA -263 -355 327
ADATA 1216 -1424 -16944
MDATA -247 -354 328
ADATA 832 -896 -16064
MDATA -245 -353 335
ADATA 832 -624 -16192
MDATA -242 -353 331
ADATA 432 -848 -16192
MDATA -244 -355 336
ADATA 800 -448 -16064
MDATA -247 -359 333
ADATA -1840 -3552 -16016
MDATA -234 -353 329
